Picture,DistortionType,DistortionValue,Filename,Method,Value
Hotdog,Brightness,4.0,Hotdog_brightness_4.png,PSNR,7.105681070983065
Hotdog,Brightness,5.0,Hotdog_brightness_5.png,LPIPS,0.5952529311180115
Hotdog,Brightness,5.0,Hotdog_brightness_5.png,SSIM,0.6456844473673341
Hotdog,Brightness,5.0,Hotdog_brightness_5.png,PSNR,6.7267762584967095
Hotdog,Brightness,6.0,Hotdog_brightness_6.png,LPIPS,0.62132328748703
Hotdog,Brightness,6.0,Hotdog_brightness_6.png,SSIM,0.6396466938681715
Hotdog,Brightness,6.0,Hotdog_brightness_6.png,PSNR,6.468524611794128
Hotdog,Brightness,7.0,Hotdog_brightness_7.png,LPIPS,0.6411795020103455
Hotdog,Brightness,7.0,Hotdog_brightness_7.png,SSIM,0.6371779650663209
Hotdog,Brightness,7.0,Hotdog_brightness_7.png,PSNR,6.304483842761917
Hotdog,Brightness,8.0,Hotdog_brightness_8.png,LPIPS,0.6552209854125977
Hotdog,Brightness,8.0,Hotdog_brightness_8.png,SSIM,0.6355966523299886
Hotdog,Brightness,8.0,Hotdog_brightness_8.png,PSNR,6.20646969424771
Hotdog,Brightness,9.0,Hotdog_brightness_9.png,LPIPS,0.6662220358848572
Hotdog,Brightness,9.0,Hotdog_brightness_9.png,SSIM,0.6344723322442846
Hotdog,Brightness,9.0,Hotdog_brightness_9.png,PSNR,6.140971706641723
Hotdog,Circularblur,0.0,Hotdog_circularBlur_0.bmp,LPIPS,0.0
Hotdog,Circularblur,0.0,Hotdog_circularBlur_0.bmp,SSIM,1.0
Hotdog,Circularblur,0.0,Hotdog_circularBlur_0.bmp,PSNR,inf
Hotdog,Circularblur,11.0,Hotdog_circularBlur_11.png,LPIPS,0.03538447618484497
Hotdog,Circularblur,11.0,Hotdog_circularBlur_11.png,SSIM,0.8627687406938955
Hotdog,Circularblur,11.0,Hotdog_circularBlur_11.png,PSNR,30.61876619660865
Hotdog,Circularblur,13.0,Hotdog_circularBlur_13.png,LPIPS,0.05648096650838852
Hotdog,Circularblur,13.0,Hotdog_circularBlur_13.png,SSIM,0.8557449942423555
Hotdog,Circularblur,13.0,Hotdog_circularBlur_13.png,PSNR,29.931793070974607
Hotdog,Circularblur,15.0,Hotdog_circularBlur_15.png,LPIPS,0.08196836709976196
Hotdog,Circularblur,15.0,Hotdog_circularBlur_15.png,SSIM,0.8488445105097459
Hotdog,Circularblur,15.0,Hotdog_circularBlur_15.png,PSNR,29.28927528133292
Hotdog,Circularblur,20.0,Hotdog_circularBlur_20.png,LPIPS,0.1539849042892456
Hotdog,Circularblur,20.0,Hotdog_circularBlur_20.png,SSIM,0.8350792524902214
Hotdog,Circularblur,20.0,Hotdog_circularBlur_20.png,PSNR,27.97140574860308
Hotdog,Circularblur,25.0,Hotdog_circularBlur_25.png,LPIPS,0.21455180644989014
Hotdog,Circularblur,25.0,Hotdog_circularBlur_25.png,SSIM,0.8227424793566543
Hotdog,Circularblur,25.0,Hotdog_circularBlur_25.png,PSNR,26.92263750966738
Hotdog,Circularblur,3.0,Hotdog_circularBlur_3.png,LPIPS,0.00041265436448156834
Hotdog,Circularblur,3.0,Hotdog_circularBlur_3.png,SSIM,0.932583716565356
Hotdog,Circularblur,3.0,Hotdog_circularBlur_3.png,PSNR,35.83425794085652
Hotdog,Circularblur,30.0,Hotdog_circularBlur_30.png,LPIPS,0.2573270797729492
Hotdog,Circularblur,30.0,Hotdog_circularBlur_30.png,SSIM,0.8145206081461782
Hotdog,Circularblur,30.0,Hotdog_circularBlur_30.png,PSNR,26.111901915651202
Hotdog,Circularblur,5.0,Hotdog_circularBlur_5.png,LPIPS,0.002596466336399317
Hotdog,Circularblur,5.0,Hotdog_circularBlur_5.png,SSIM,0.893452921199645
Hotdog,Circularblur,5.0,Hotdog_circularBlur_5.png,PSNR,33.167714741322044
Hotdog,Circularblur,7.0,Hotdog_circularBlur_7.png,LPIPS,0.007804466877132654
Hotdog,Circularblur,7.0,Hotdog_circularBlur_7.png,SSIM,0.8776173379976088
Hotdog,Circularblur,7.0,Hotdog_circularBlur_7.png,PSNR,32.120699716818486
Hotdog,Circularblur,9.0,Hotdog_circularBlur_9.png,LPIPS,0.019361484795808792
Hotdog,Circularblur,9.0,Hotdog_circularBlur_9.png,SSIM,0.8686624158777222
Hotdog,Circularblur,9.0,Hotdog_circularBlur_9.png,PSNR,31.30400113594434
Hotdog,Dilation,0.0,Hotdog_dilation_0.bmp,LPIPS,0.0
Hotdog,Dilation,0.0,Hotdog_dilation_0.bmp,SSIM,1.0
Hotdog,Dilation,0.0,Hotdog_dilation_0.bmp,PSNR,inf
Hotdog,Dilation,11.0,Hotdog_dilation_11.png,LPIPS,0.15146872401237488
Hotdog,Dilation,11.0,Hotdog_dilation_11.png,SSIM,0.7835220344197732
Hotdog,Dilation,11.0,Hotdog_dilation_11.png,PSNR,19.916138885824232
Hotdog,Dilation,15.0,Hotdog_dilation_15.png,LPIPS,0.19464118778705597
Hotdog,Dilation,15.0,Hotdog_dilation_15.png,SSIM,0.7702631225329098
Hotdog,Dilation,15.0,Hotdog_dilation_15.png,PSNR,18.608023279578546
Hotdog,Dilation,18.0,Hotdog_dilation_18.png,LPIPS,0.21992945671081543
Hotdog,Dilation,18.0,Hotdog_dilation_18.png,SSIM,0.7620270817590918
Hotdog,Dilation,18.0,Hotdog_dilation_18.png,PSNR,17.836634789154107
Hotdog,Dilation,20.0,Hotdog_dilation_20.png,LPIPS,0.23205313086509705
Hotdog,Dilation,20.0,Hotdog_dilation_20.png,SSIM,0.7574386783040817
Hotdog,Dilation,20.0,Hotdog_dilation_20.png,PSNR,17.406246973061684
Hotdog,Dilation,25.0,Hotdog_dilation_25.png,LPIPS,0.254521906375885
Hotdog,Dilation,25.0,Hotdog_dilation_25.png,SSIM,0.7487051856140257
Hotdog,Dilation,25.0,Hotdog_dilation_25.png,PSNR,16.529858524484062
Hotdog,Dilation,3.0,Hotdog_dilation_3.png,LPIPS,0.022370290011167526
Hotdog,Dilation,3.0,Hotdog_dilation_3.png,SSIM,0.8606628051125437
Hotdog,Dilation,3.0,Hotdog_dilation_3.png,PSNR,26.04469603401276
Hotdog,Dilation,5.0,Hotdog_dilation_5.png,LPIPS,0.05292409658432007
Hotdog,Dilation,5.0,Hotdog_dilation_5.png,SSIM,0.8228832892843262
Hotdog,Dilation,5.0,Hotdog_dilation_5.png,PSNR,23.4510297580039
Hotdog,Dilation,7.0,Hotdog_dilation_7.png,LPIPS,0.09024053066968918
Hotdog,Dilation,7.0,Hotdog_dilation_7.png,SSIM,0.8039152574510645
Hotdog,Dilation,7.0,Hotdog_dilation_7.png,PSNR,21.905841053969816
Hotdog,Dilation,9.0,Hotdog_dilation_9.png,LPIPS,0.12216435372829437
Hotdog,Dilation,9.0,Hotdog_dilation_9.png,SSIM,0.7926702183202322
